2.96 | 2.80

3.33 | 2.42

1.03 | 35.00

2.25 | 2.40

1.86 | 3.70

2.00 | 3.10

1.25 | 9.00

2.05 | 2.85

1.35 | 8.20

1.37 | 7.20

2.15 | 2.75

3.25 | 2.30

2.85 | 2.20

1.06 | 26.00

1.51 | 4.60

1.96 | 3.40

2.75 | 2.70

15.00 | 1.18

2.10 | 2.65

2.20 | 2.80

1.56 | 5.10

2.95 | 2.35

4.00 | 1.85

2.25 | 3.25

2.10 | 3.50

1.79 | 4.10

1.85 | 3.90

1.62 | 5.70

3.50 | 1.73

1.66 | 4.40

2.20 | 2.75

2.30 | 2.70

1.43 | 6.00

2.10 | 3.10

1.62 | 4.50

3.80 | 1.70

3.40 | 1.73

1.02 | 45.00

1.79 | 5.40

2.05 | 3.90

1.23 | 16.00

1.51 | 8.10

2.40 | 2.55

1.47 | 5.40

4.40 | 1.52

1.85 | 4.20

2.25 | 3.30

2.10 | 3.70

1.88 | 4.10

1.41 | 8.00

2.30 | 2.70

2.30 | 2.50

3.60 | 1.76

1.39 | 8.10

2.05 | 3.60

1.52 | 5.90

2.05 | 3.30

1.74 | 3.60

1.69 | 3.25

1.66 | 3.33

1.92 | 3.50

1.75 | 4.70

2.25 | 3.30

2.20 | 3.20

1.34 | 7.30

2.40 | 2.90

2.06 | 4.00

3.10 | 1.99

3.50 | 2.10

5.40 | 1.52
